,url
0,https://www.meinprospekt.de/filialen/aldisued-de
1,https://www.meinprospekt.de/filialen/edeka
2,https://www.meinprospekt.de/filialen/familano-de
3,https://www.meinprospekt.de/filialen/globus-de
4,https://www.meinprospekt.de/filialen/hit-de
5,https://www.meinprospekt.de/filialen/norma-de
6,https://www.meinprospekt.de/filialen/tegut-de
7,https://www.meinprospekt.de/filialen/kaufland
8,https://www.meinprospekt.de/filialen/lidl
9,https://www.meinprospekt.de/filialen/netto-marken-discount-de
10,https://www.meinprospekt.de/filialen/penny-de
11,https://www.meinprospekt.de/filialen/rewe-de
12,https://www.meinprospekt.de/filialen/real-de
